nome_giocatore,nome,cognome,squadra,piede,numero
casasola,Tiago,Casasola,ternana,destro,15
cianci,Pietro,Cianci,ternana,sinistro,71
cicerelli,Emanuele,Cicerelli,ternana,destro,10
curcio,Alessio,Curcio,ternana,destro,11
deboer,Kees,De Boer,ternana,destro,8
donnarumma,Alfredo,Donnarumma,ternana,destro,99
ferrante,Alexis,Ferrante,ternana,destro,9
tito,Fabio,Tito,ternana,sinistro,3
viviani,Federico,Viviani,ternana,destro,77
